date,Кейн,Tayuya,Тень,Uchiha Madara,Jugo,Сайдзо,AloneInTheDark,Shisui,Rosich,Вулкан,СОНЯ,Мастер ИП,YuRaN III,Konan,Гусь,треш,_ZeuS_,Канеки Учиха,Шикигами,Rock Lee,Айзен,Pain,тихиЙ ужаС,sensey,Yahiko,Учиха Хидате,_Indra_,-Tobi-,Kirishima Touka,Silf,Mrak,Социопат_мл,Хедин,герцогиня,Trigun,Социопат,-Uchiha-Artem-,Deathstroke,Нет,~TITAN~,CM Punk,Хрустальный Лис,Rokyro Rau,Пчёлка,Акасуна но Акира,Supa,mazumuz,Grimmjow,Акасуна_но_Сасори,Alukard,Ogawa,Dead pool,Toster,Fludo,Nikitoss,Freir,ШикамарУ,zzStop,Ога Тацуми,Сбежавший Учиха,misha10x10x,KillerNick,Shiro,TipS,Senju Hashirama,nom,Флэш,Mr Trololo,Сенджу Хаширама,L Lawliet,Учиха Саске,Тобирама Сенджу,Garadin,ProoNoob,Crowley,Киригайя Казуто,~KiLLeR~,Nasa,Dark Bane,~Uchiha_Storm~,Ясутора Садо,Эйс,Nagato,Kurogane,Том Сойер,Хошигаки Кисаме,_Призрак_,KingJulian,Сусано,Joker,Inoryanka,Чум_бу_раш_ка,Neji_Hyuga,-Mr_RAGE-,Djons,Suluhiashi,Korvin,Painyashka,Feel my Pain,Никита Евдокимов
20170531,67279,53558,53527,50081,44579,43080,42809,36316,32824,31383,29010,28682,28483,27813,26872,25438,25325,23138,21317,21143,21141,20584,20114,20030,19492,19069,18730,18121,17300,17092,17021,16613,16095,15991,15976,15604,15292,14452,14426,14369,14362,14071,13268,13145,13145,12608,12512,12337,12279,11827,11559,11392,11348,11276,11211,11085,10821,10642,10598,10436,10426,10418,9920,9845,9649,9597,9393,9201,9075,9006,8846,8748,8547,8406,8179,8088,8074,7937,7873,7838,7759,7569,7558,7419,7317,7288,7240,7075,6993,6886,6820,6667,6618,6614,6536,6500,6493,6443,6265,6051
date,Кейн,Tayuya,Тень,Uchiha Madara,Jugo,Сайдзо,AloneInTheDark,Shisui,Rosich,Вулкан,СОНЯ,Мастер ИП,YuRaN III,Konan,Гусь,треш,_ZeuS_,Канеки Учиха,Шикигами,Rock Lee,Айзен,Pain,тихиЙ ужаС,sensey,Yahiko,Учиха Хидате,_Indra_,-Tobi-,Kirishima Touka,Silf,Mrak,Социопат_мл,Хедин,Trigun,герцогиня,Социопат,-Uchiha-Artem-,Нет,Deathstroke,~TITAN~,CM Punk,Хрустальный Лис,Rokyro Rau,Акасуна но Акира,Пчёлка,Supa,mazumuz,Grimmjow,Акасуна_но_Сасори,Alukard,Ogawa,Dead pool,Toster,Fludo,Nikitoss,Freir,ШикамарУ,zzStop,Ога Тацуми,Сбежавший Учиха,KillerNick,misha10x10x,Shiro,TipS,Senju Hashirama,nom,Флэш,Mr Trololo,Сенджу Хаширама,L Lawliet,Учиха Саске,Тобирама Сенджу,Garadin,ProoNoob,Crowley,Киригайя Казуто,~KiLLeR~,Nasa,Dark Bane,~Uchiha_Storm~,Ясутора Садо,Эйс,Nagato,Kurogane,Том Сойер,Хошигаки Кисаме,_Призрак_,KingJulian,Сусано,Inoryanka,Joker,Чум_бу_раш_ка,Neji_Hyuga,-Mr_RAGE-,Djons,Suluhiashi,Korvin,Painyashka,Feel my Pain,Никита Евдокимов
20170601,67395,53648,53621,50168,44637,43141,42909,36370,32887,31383,29010,28740,28534,27818,26872,25438,25325,23161,21354,21187,21141,20584,20224,20045,19492,19069,18774,18123,17361,17136,17021,16658,16095,16019,15991,15604,15343,14486,14452,14369,14362,14071,13302,13181,13145,12608,12510,12337,12279,11829,11559,11392,11348,11316,11211,11138,10821,10642,10598,10487,10450,10438,9920,9845,9649,9597,9393,9217,9075,9006,8846,8748,8577,8406,8179,8088,8074,7937,7873,7838,7759,7569,7558,7419,7317,7288,7240,7119,6993,6888,6886,6667,6618,6614,6536,6500,6493,6448,6295,6051
date,Кейн,Tayuya,Тень,Uchiha Madara,Jugo,Сайдзо,AloneInTheDark,Shisui,Rosich,Вулкан,СОНЯ,Мастер ИП,YuRaN III,Konan,Гусь,треш,_ZeuS_,Канеки Учиха,Шикигами,Rock Lee,Айзен,Pain,тихиЙ ужаС,sensey,Yahiko,Учиха Хидате,_Indra_,-Tobi-,Kirishima Touka,Silf,Mrak,Социопат_мл,Хедин,Trigun,герцогиня,Социопат,-Uchiha-Artem-,Нет,Deathstroke,~TITAN~,CM Punk,Хрустальный Лис,Rokyro Rau,Акасуна но Акира,Пчёлка,Supa,mazumuz,Grimmjow,Акасуна_но_Сасори,Alukard,Ogawa,Dead pool,Fludo,Toster,Nikitoss,Freir,ШикамарУ,zzStop,Ога Тацуми,Сбежавший Учиха,KillerNick,misha10x10x,Shiro,TipS,Senju Hashirama,nom,Флэш,Mr Trololo,Сенджу Хаширама,L Lawliet,Учиха Саске,Тобирама Сенджу,Garadin,ProoNoob,Crowley,Киригайя Казуто,~KiLLeR~,Nasa,Dark Bane,~Uchiha_Storm~,Ясутора Садо,Эйс,Nagato,Kurogane,Том Сойер,Хошигаки Кисаме,_Призрак_,KingJulian,Сусано,Inoryanka,Joker,Чум_бу_раш_ка,Neji_Hyuga,-Mr_RAGE-,Djons,Suluhiashi,Korvin,Painyashka,Feel my Pain,Никита Евдокимов
20170602,67458,53704,53667,50217,44678,43178,42960,36407,32950,31383,29010,28804,28574,27820,26872,25438,25325,23187,21396,21229,21141,20584,20237,20067,19492,19069,18815,18123,17415,17145,17021,16673,16095,16058,15991,15604,15348,14543,14452,14369,14362,14071,13347,13207,13145,12608,12512,12337,12279,11830,11559,11392,11361,11348,11211,11181,10821,10642,10598,10543,10495,10480,9921,9845,9649,9607,9393,9224,9075,9006,8846,8748,8598,8406,8179,8088,8074,7937,7873,7838,7759,7569,7558,7419,7317,7288,7240,7133,6993,6940,6886,6667,6618,6614,6536,6500,6493,6448,6335,6051
date,Кейн,Tayuya,Тень,Uchiha Madara,Jugo,Сайдзо,AloneInTheDark,Shisui,Rosich,Вулкан,СОНЯ,Мастер ИП,YuRaN III,Konan,Гусь,треш,_ZeuS_,Канеки Учиха,Шикигами,Rock Lee,Айзен,Pain,тихиЙ ужаС,sensey,Yahiko,Учиха Хидате,_Indra_,-Tobi-,Kirishima Touka,Silf,Mrak,Социопат_мл,Trigun,Хедин,герцогиня,Социопат,-Uchiha-Artem-,Нет,Deathstroke,~TITAN~,CM Punk,Хрустальный Лис,Rokyro Rau,Акасуна но Акира,Пчёлка,Supa,mazumuz,Grimmjow,Акасуна_но_Сасори,Alukard,Ogawa,Fludo,Dead pool,Toster,Freir,Nikitoss,ШикамарУ,zzStop,Ога Тацуми,Сбежавший Учиха,KillerNick,misha10x10x,Shiro,TipS,Senju Hashirama,nom,Флэш,Mr Trololo,Сенджу Хаширама,L Lawliet,Учиха Саске,Тобирама Сенджу,Garadin,ProoNoob,Crowley,Киригайя Казуто,~KiLLeR~,Nasa,Dark Bane,~Uchiha_Storm~,Ясутора Садо,Эйс,Nagato,Kurogane,Том Сойер,Хошигаки Кисаме,_Призрак_,KingJulian,Inoryanka,Сусано,Joker,Чум_бу_раш_ка,Neji_Hyuga,-Mr_RAGE-,Djons,Suluhiashi,Korvin,Painyashka,Feel my Pain,Никита Евдокимов
20170603,67562,53803,53753,50278,44696,43253,43058,36472,33001,31383,29010,28849,28620,27823,26872,25438,25325,23209,21459,21273,21141,20584,20293,20085,19492,19069,18856,18124,17474,17224,17021,16723,16099,16095,15991,15604,15410,14593,14452,14369,14362,14071,13355,13255,13145,12608,12519,12337,12279,11829,11559,11405,11392,11348,11221,11211,10821,10642,10598,10585,10534,10531,9921,9845,9649,9611,9393,9226,9075,9006,8846,8748,8600,8406,8179,8089,8083,7937,7873,7838,7759,7569,7558,7419,7317,7288,7240,7143,7001,6993,6886,6667,6618,6614,6536,6500,6493,6448,6404,6051
date,Кейн,Tayuya,Тень,Uchiha Madara,Jugo,Сайдзо,AloneInTheDark,Shisui,Rosich,Вулкан,СОНЯ,Мастер ИП,YuRaN III,Konan,Гусь,треш,_ZeuS_,Канеки Учиха,Шикигами,Rock Lee,Айзен,Pain,тихиЙ ужаС,sensey,Yahiko,Учиха Хидате,_Indra_,-Tobi-,Kirishima Touka,Silf,Mrak,Социопат_мл,Trigun,Хедин,герцогиня,Социопат,-Uchiha-Artem-,Нет,Deathstroke,~TITAN~,CM Punk,Хрустальный Лис,Rokyro Rau,Акасуна но Акира,Пчёлка,Supa,mazumuz,Grimmjow,Акасуна_но_Сасори,Alukard,Ogawa,Fludo,Dead pool,Toster,Freir,Nikitoss,ШикамарУ,zzStop,Сбежавший Учиха,Ога Тацуми,KillerNick,misha10x10x,Shiro,TipS,Senju Hashirama,nom,Флэш,Mr Trololo,Сенджу Хаширама,L Lawliet,Учиха Саске,Тобирама Сенджу,Garadin,ProoNoob,Crowley,~KiLLeR~,Киригайя Казуто,Nasa,Dark Bane,~Uchiha_Storm~,Ясутора Садо,Эйс,Nagato,Kurogane,Том Сойер,Хошигаки Кисаме,_Призрак_,KingJulian,Inoryanka,Сусано,Joker,Чум_бу_раш_ка,Neji_Hyuga,-Mr_RAGE-,Djons,Suluhiashi,Korvin,Painyashka,Feel my Pain,Никита Евдокимов
20170604,67632,53872,53813,50337,44720,43337,43119,36522,33035,31403,29010,28892,28676,27823,26872,25438,25325,23255,21498,21316,21141,20584,20325,20086,19492,19069,18878,18156,17547,17286,17021,16748,16128,16095,15991,15604,15463,14648,14452,14369,14362,14071,13387,13296,13145,12608,12527,12337,12279,11837,11559,11456,11392,11348,11238,11211,10821,10642,10613,10598,10574,10569,9921,9848,9649,9616,9393,9242,9075,9006,8846,8748,8601,8406,8179,8090,8089,7937,7873,7838,7759,7569,7558,7419,7317,7288,7240,7145,7070,6993,6886,6667,6618,6614,6536,6500,6493,6448,6445,6051
